"Data","Resultado","Tiros Certeiros","Navios Afundados","Total Jogadas"
"12/03/2026 15:31","Vitória","25","11","0"
"19/03/2026 15:59","Vitória","25","11","0"
"19/03/2026 16:08","Vitória","25","11","0"
